,Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star color_Blue,Star color_Blue White,Star color_Blue white,Star color_Blue-White,Star color_Blue-white,Star color_Orange,Star color_Red,Star color_White,Star color_Whitish,Star color_white,Star category_Brown Dwarf,Star category_Hypergiant,Star category_Main Sequence,Star category_Red Dwarf,Star category_Supergiant,Star category_White Dwarf,Star type_0,Star type_1,Star type_2,Star type_3,Star type_4,Star type_5,Spectral Class
0,3068,0.0024,0.17,16.12,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
1,3042,0.0005,0.1542,16.6,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
2,2600,0.0003,0.102,18.7,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
3,2800,0.0002,0.16,16.65,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
4,1939,0.000138,0.103,20.06,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
5,2840,0.00065,0.11,16.98,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
6,2637,0.00073,0.127,17.22,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
7,2600,0.0004,0.096,17.4,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
8,2650,0.00069,0.11,17.45,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
9,2700,0.00018,0.13,16.05,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,M
10,3600,0.0029,0.51,10.69,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
11,3129,0.0122,0.3761,11.79,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
12,3134,0.0004,0.196,13.21,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
13,3628,0.0055,0.393,10.48,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
14,2650,0.0006,0.14,11.782,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
15,3340,0.0038,0.24,13.07,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
16,2799,0.0018,0.16,14.79,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
17,3692,0.00367,0.47,10.8,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
18,3192,0.00362,0.1967,13.53,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
19,3441,0.039,0.351,11.18,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,M
